pl_name,A AÑOS LUZ DE LA TIERRA,Valor_masa_multiplicador,MAGNITUD ESTELAR,mj_mt,FECHA DE DESCUBRIMIENTO,Tipo_planeta
KELT-24 b,315,5.18,8.34,317.83,2019,Gigante gaseoso
KELT-2 A b,437,1.7,8.68,317.83,2012,Gigante gaseoso
KELT-3 b,686,1.94,9.816,317.83,2013,Gigante gaseoso
KELT-4 A b,711,0.902,9.98,317.83,2016,Gigante gaseoso
KELT-6 b,785,0.52,10.371,317.83,2014,Gigante gaseoso
KELT-6 c,785,3.71,10.371,317.83,2015,Gigante gaseoso
KELT-7 b,446,1.39,8.56,317.83,2015,Gigante gaseoso
KELT-8 b,644,0.66,10.845,317.83,2015,Gigante gaseoso
KELT-9 b,667,2.88,7.55,317.83,2017,Gigante gaseoso
Kepler-101 b,3027,0.16,13.7,317.83,2014,Gigante gaseoso
Kepler-1085 b,4451,0.13,15.273,317.83,2016,Gigante gaseoso
Kepler-108 b,1105,0.176,12.657,317.83,2014,Gigante gaseoso
Kepler-108 c,1105,0.16,12.657,317.83,2014,Gigante gaseoso
Kepler-111 c,2144,0.132,13.543,317.83,2014,Gigante gaseoso
Kepler-117 c,4748,1.84,14.282,317.83,2014,Gigante gaseoso
Kepler-118 c,1873,0.144,14.867,317.83,2014,Gigante gaseoso
Kepler-123 b,3333,0.174,14.129,317.83,2014,Gigante gaseoso
Kepler-129 c,1334,0.13529,11.809,317.83,2014,Gigante gaseoso
Kepler-129 d,1334,8.3,11.809,317.83,2021,Gigante gaseoso
Kepler-12 b,2875,0.432,13.468,317.83,2011,Gigante gaseoso
Kepler-145 c,1849,0.25,11.977,317.83,2013,Gigante gaseoso
Kepler-148 d,2581,0.177,15.398,317.83,2016,Gigante gaseoso
Kepler-14 b,2603,8.4,12.003,317.83,2011,Gigante gaseoso
Kepler-1513 b,1139,0.17,13.071,317.83,2016,Gigante gaseoso
Kepler-1514 b,1296,5.28,11.766,317.83,2016,Gigante gaseoso
Kepler-1515 b,1759,0.208,12.1,317.83,2016,Gigante gaseoso
Kepler-1517 b,2764,0.216,12.228,317.83,2016,Gigante gaseoso
Kepler-1519 b,4703,39.6,15.124,317.83,2016,Gigante gaseoso
Kepler-15 b,2412,0.66,13.81,317.83,2011,Gigante gaseoso
Kepler-160 d,3057,0.31463,14.816,317.83,2020,Gigante gaseoso
Kepler-1647 b,3955,151.968,13.668,317.83,2016,Gigante gaseoso
Kepler-1654 b,1853,0.5,13.497,317.83,2018,Gigante gaseoso
Kepler-1656 b,606,0.15291,11.64,317.83,2018,Gigante gaseoso
Kepler-1658 b,2571,5.88,11.62,317.83,2019,Gigante gaseoso
Kepler-167 e,1115,0.231,14.284,317.83,2016,Gigante gaseoso
Kepler-16 b,245,0.333,12.144,317.83,2011,Gigante gaseoso
Kepler-1704 b,2725,4.15,13.392,317.83,2013,Gigante gaseoso
Kepler-170 b,2409,0.26,14.344,317.83,2014,Gigante gaseoso
Kepler-17 b,2351,2.45,14.314,317.83,2011,Gigante gaseoso
Kepler-25 d,793,0.226,10.769,317.83,2014,Gigante gaseoso
Kepler-277 b,317.836,0.275,13.544,317.83,2013,Gigante gaseoso
Kepler-277 c,317.836,0.202,13.544,317.83,2013,Gigante gaseoso
Kepler-279 c,3384,0.155,13.647,317.83,2013,Gigante gaseoso
Kepler-27 b,3407,9.11,15.822,317.83,2011,Gigante gaseoso
Kepler-27 c,3407,13.8,15.822,317.83,2011,Gigante gaseoso
Kepler-282 e,4363,0.177,15.444,317.83,2013,Gigante gaseoso
Kepler-289 c,2298,0.42,14.142,317.83,2014,Gigante gaseoso
Kepler-297 b,2258,0.153,14.326,317.83,2014,Gigante gaseoso
Kepler-297 c,2258,0.132,14.326,317.83,2014,Gigante gaseoso
Kepler-302 c,4575,Unknown,15.694,317.83,2014,Gigante gaseoso
Kepler-30 c,2982,2.01,15.726,317.83,2012,Gigante gaseoso
Kepler-31 c,5430,4.7,15.496,317.83,2011,Gigante gaseoso
Kepler-31 d,5430,6.8,15.496,317.83,2014,Gigante gaseoso
Kepler-328 c,7219,39.4,15.794,317.83,2013,Gigante gaseoso
Kepler-32 b,1056,4.1,16.36,317.83,2011,Gigante gaseoso
Kepler-34 b,5874,0.22,15.087,317.83,2011,Gigante gaseoso
Kepler-35 b,5934,0.127,15.863,317.83,2011,Gigante gaseoso
Kepler-38 b,3832,0.384,14.015,317.83,2012,Gigante gaseoso
Kepler-396 b,730,0.238,12.259,317.83,2013,Gigante gaseoso
Kepler-39 b,3449,20.1,14.355,317.83,2011,Gigante gaseoso
Kepler-407 c,1104,12.6,12.603,317.83,2014,Gigante gaseoso
Kepler-40 b,7519,2.2,14.657,317.83,2010,Gigante gaseoso
Kepler-412 b,3543,0.941,14.399,317.83,2014,Gigante gaseoso
Kepler-413 b,2765,0.211,15.885,317.83,2014,Gigante gaseoso
Kepler-418 b,3270,1.1,14.824,317.83,2014,Gigante gaseoso
Kepler-419 b,3299,2.5,13.089,317.83,2014,Gigante gaseoso
Kepler-419 c,3299,7.3,13.089,317.83,2014,Gigante gaseoso
Kepler-41 b,3566,0.56,14.509,317.83,2011,Gigante gaseoso
Kepler-422 b,2358,0.43,13.524,317.83,2014,Gigante gaseoso
Kepler-423 b,2475,0.595,14.462,317.83,2014,Gigante gaseoso
Kepler-424 b,2279,1.03,14.429,317.83,2014,Gigante gaseoso
Kepler-424 c,2279,6.97,14.429,317.83,2014,Gigante gaseoso
Kepler-425 b,2109,0.25,14.845,317.83,2014,Gigante gaseoso
Kepler-426 b,2752,0.34,15.032,317.83,2014,Gigante gaseoso
Kepler-427 b,3320,0.29,14.301,317.83,2014,Gigante gaseoso
Kepler-428 b,2239,1.27,15.362,317.83,2014,Gigante gaseoso
Kepler-432 b,2766,5.41,12.398,317.83,2015,Gigante gaseoso
Kepler-432 c,2766,2.43,12.398,317.83,2015,Gigante gaseoso
Kepler-433 b,6127,2.82,14.717,317.83,2015,Gigante gaseoso
Kepler-434 b,3988,2.86,14.49,317.83,2015,Gigante gaseoso
Kepler-435 b,4628,0.84,13.704,317.83,2015,Gigante gaseoso
Kepler-43 b,3281,3.23,13.986,317.83,2011,Gigante gaseoso
Kepler-447 b,874,1.37,12.52,317.83,2015,Gigante gaseoso
Kepler-448 c,1303,22,11.51,317.83,2017,Gigante gaseoso
Kepler-44 b,3875,1,14.803,317.83,2011,Gigante gaseoso
Kepler-454 c,753,4.46,11.567,317.83,2015,Gigante gaseoso
Kepler-45 b,1246,0.505,16.744,317.83,2011,Gigante gaseoso
Kepler-462 b,1946,0.16959,11.632,317.83,2016,Gigante gaseoso
Kepler-468 b,1445,Unknown,13.852,317.83,2016,Gigante gaseoso
Kepler-46 b,2535,6,15.312,317.83,2012,Gigante gaseoso
Kepler-46 c,2535,0.376,15.312,317.83,2012,Gigante gaseoso
Kepler-470 b,3033,112,13.282,317.83,2016,Gigante gaseoso
Kepler-471 b,4076,117,13.767,317.83,2016,Gigante gaseoso
Kepler-485 b,3722,112,15.069,317.83,2016,Gigante gaseoso
Kepler-486 b,1423,0.265,14.615,317.83,2016,Gigante gaseoso
Kepler-487 b,2846,Unknown,14.882,317.83,2016,Gigante gaseoso
Kepler-488 b,3736,124,14.868,317.83,2016,Gigante gaseoso
Kepler-489 b,1206,0.145,14.221,317.83,2016,Gigante gaseoso
Kepler-48 e,1001,2.067,13.174,317.83,2014,Gigante gaseoso
Kepler-490 b,4968,Unknown,14.843,317.83,2016,Gigante gaseoso
Kepler-491 b,2058,0.186,14.178,317.83,2016,Gigante gaseoso
Kepler-492 b,1918,0.21,14.644,317.83,2016,Gigante gaseoso
Kepler-493 b,5695,118,15.268,317.83,2016,Gigante gaseoso
Kepler-494 b,2447,0.127,14.287,317.83,2016,Gigante gaseoso
Kepler-522 b,2085,38.2,12.22,317.83,2016,Gigante gaseoso
Kepler-52 b,1049,8.7,15.513,317.83,2012,Gigante gaseoso
Kepler-52 c,1049,10.41,15.513,317.83,2012,Gigante gaseoso
Kepler-539 b,1002,0.97,12.444,317.83,2016,Gigante gaseoso
Kepler-539 c,1002,2.4,12.444,317.83,2016,Gigante gaseoso
Kepler-53 b,4456,18.41,15.367,317.83,2012,Gigante gaseoso
Kepler-53 c,4456,15.74,15.367,317.83,2012,Gigante gaseoso
Kepler-546 b,3326,39.1,14.325,317.83,2016,Gigante gaseoso
Kepler-548 b,2452,Unknown,15.266,317.83,2016,Gigante gaseoso
Kepler-553 c,2376,Unknown,15.034,317.83,2016,Gigante gaseoso
Kepler-561 b,2027,38.7,14.427,317.83,2016,Gigante gaseoso
Kepler-56 c,2978,0.57,12.598,317.83,2012,Gigante gaseoso
Kepler-56 d,2978,5.61,12.598,317.83,2016,Gigante gaseoso
Kepler-57 b,2101,18.86,15.017,317.83,2012,Gigante gaseoso
Kepler-5 b,2935,2.111,13.325,317.83,2009,Gigante gaseoso
Kepler-628 b,2929,0.168,13.138,317.83,2016,Gigante gaseoso
Kepler-63 b,633,0.378,12.02,317.83,2013,Gigante gaseoso
Kepler-643 b,3469,1.01,13.988,317.83,2016,Gigante gaseoso
Kepler-65 e,991,0.82,10.922,317.83,2019,Gigante gaseoso
Kepler-670 b,3065,Unknown,15.162,317.83,2016,Gigante gaseoso
Kepler-682 b,6456,0.134,15.556,317.83,2016,Gigante gaseoso
Kepler-685 b,3062,0.248,15.186,317.83,2016,Gigante gaseoso
Kepler-686 b,4863,Unknown,16.02,317.83,2016,Gigante gaseoso
Kepler-688 b,4429,0.216,15.805,317.83,2016,Gigante gaseoso
Kepler-68 d,470,0.84007,10.077,317.83,2013,Gigante gaseoso
Kepler-693 b,3756,0.232,167.286,317.83,2016,Gigante gaseoso
Kepler-695 b,2750,0.196,15.262,317.83,2016,Gigante gaseoso
Kepler-699 b,6817,Unknown,15.867,317.83,2016,Gigante gaseoso
Kepler-6 b,1915,0.668,13.286,317.83,2009,Gigante gaseoso
Kepler-702 b,3236,0.194,15.437,317.83,2016,Gigante gaseoso
Kepler-703 b,3774,0.161,15.599,317.83,2016,Gigante gaseoso
Kepler-706 b,2892,Unknown,15.274,317.83,2016,Gigante gaseoso
Kepler-714 b,6796,0.213,15.43,317.83,2016,Gigante gaseoso
Kepler-718 b,4248,131,15.399,317.83,2016,Gigante gaseoso
Kepler-719 b,8147,0.172,16.128,317.83,2016,Gigante gaseoso
Kepler-720 b,3475,0.168,15.462,317.83,2016,Gigante gaseoso
Kepler-723 b,3496,Unknown,15.452,317.83,2016,Gigante gaseoso
Kepler-725 b,2474,0.25,15.145,317.83,2016,Gigante gaseoso
Kepler-730 b,6312,Unknown,15.782,317.83,2016,Gigante gaseoso
Kepler-731 b,4101,Unknown,15.386,317.83,2016,Gigante gaseoso
Kepler-74 b,3841,0.63,14.487,317.83,2013,Gigante gaseoso
Kepler-75 b,2725,10.1,15.414,317.83,2013,Gigante gaseoso
Kepler-762 b,6192,Unknown,15.574,317.83,2016,Gigante gaseoso
Kepler-76 b,2684,2.01,13.474,317.83,2013,Gigante gaseoso
Kepler-77 b,2086,0.43,14.152,317.83,2013,Gigante gaseoso
Kepler-785 b,2094,Unknown,16.315,317.83,2016,Gigante gaseoso
Kepler-7 b,3009,0.441,13.008,317.83,2009,Gigante gaseoso
Kepler-807 b,4870,0.242,15.194,317.83,2016,Gigante gaseoso
Kepler-816 b,3209,0.234,16.365,317.83,2016,Gigante gaseoso
Kepler-817 b,4842,0.189,15.967,317.83,2016,Gigante gaseoso
Kepler-83 b,1306,0.132,16.145,317.83,2012,Gigante gaseoso
Kepler-840 b,3661,135,14.35,317.83,2016,Gigante gaseoso
Kepler-849 b,2682,0.127,12.878,317.83,2016,Gigante gaseoso
Kepler-854 b,4557,132,13.417,317.83,2016,Gigante gaseoso
Kepler-855 b,4914,0.166,15.157,317.83,2016,Gigante gaseoso
Kepler-856 b,4408,0.199,15.594,317.83,2016,Gigante gaseoso
Kepler-87 b,4022,1.02,14.681,317.83,2013,Gigante gaseoso
Kepler-88 d,1229,305.046,13.209,317.83,2020,Gigante gaseoso
Kepler-890 b,5585,0.184,15.235,317.83,2016,Gigante gaseoso
Kepler-8 b,3333,0.59,13.598,317.83,2010,Gigante gaseoso
Kepler-90g,2767,0.8,13.883,317.83,2013,Gigante gaseoso
Kepler-90h,2767,1.2,13.883,317.83,2013,Gigante gaseoso
Kepler-91 b,4223,0.81,12.712,317.83,2013,Gigante gaseoso
Kepler-92 b,1559,0.202,11.671,317.83,2013,Gigante gaseoso
Kepler-93 c,313,3,9.996,317.83,2014,Gigante gaseoso
Kepler-94 c,626,9.836,13.071,317.83,2014,Gigante gaseoso
Kepler-950 b,7051,0.188,16,317.83,2016,Gigante gaseoso
Kepler-952 b,4254,0.143,15.323,317.83,2016,Gigante gaseoso
Kepler-97 c,1308,1.08,12.994,317.83,2014,Gigante gaseoso
Kepler-9 b,2049,0.13655,13.922,317.83,2010,Gigante gaseoso
KIC 10068024 b,2352,2,13.144,317.83,2021,Gigante gaseoso
KIC 5095269 b,3877,7.693,13.595,317.83,2017,Gigante gaseoso
KIC 5479689 b,1484,0.5,13.929,317.83,2021,Gigante gaseoso
KIC 7917485 b,4511,11.8,13.166,317.83,2016,Gigante gaseoso
KIC 8121913 b,2307,2.1,12.38,317.83,2021,Gigante gaseoso
KMT-2016-BLG-0212L b,20551,18,,317.83,2018,Gigante gaseoso
KMT-2016-BLG-1107L b,21696,3.283,,317.83,2019,Gigante gaseoso
KMT-2016-BLG-1397L b,21529,7,,317.83,2018,Gigante gaseoso
KMT-2016-BLG-1820L b,20420,4.57,,317.83,2018,Gigante gaseoso
KMT-2016-BLG-1836L b,23160,2.2,,317.83,2019,Gigante gaseoso
KMT-2016-BLG-2142L b,22867,15.49,,317.83,2018,Gigante gaseoso
KMT-2016-BLG-2364L b,21007,3.93,,317.83,2020,Gigante gaseoso
KMT-2016-BLG-2397L b,15919,2.63,,317.83,2020,Gigante gaseoso
KMT-2017-BLG-1038L b,19572,2,,317.83,2019,Gigante gaseoso
KMT-2017-BLG-1146L b,21203,0.71,,317.83,2019,Gigante gaseoso
KMT-2018-BLG-0748L b,23813,0.19,,317.83,2020,Gigante gaseoso
KMT-2018-BLG-1292L b,11287,4.42,,317.83,2020,Gigante gaseoso
KMT-2018-BLG-1976L b,19050,2.22,,317.83,2021,Gigante gaseoso
KMT-2018-BLG-1990L b,3154,0.348,,317.83,2019,Gigante gaseoso
KMT-2018-BLG-1996L b,19278,1.09,,317.83,2021,Gigante gaseoso
KMT-2019-BLG-0371L b,22867,7.7,,317.83,2021,Gigante gaseoso
KMT-2019-BLG-1339L b,19963,1.25,,317.83,2020,Gigante gaseoso
KMT-2019-BLG-1953L b,22964,0.64,,317.83,2020,Gigante gaseoso
KOI-1257 b,2140,1.45,14.818,317.83,2014,Gigante gaseoso
KOI-12 b,1303,1.1,11.51,317.83,2015,Gigante gaseoso
KOI-13 b,1693,9.28,9.791,317.83,2011,Gigante gaseoso
KOI-142 c,1229,0.674,13.209,317.83,2013,Gigante gaseoso
KOI-1783.01,2824,0.22339,13.978,317.83,2020,Gigante gaseoso
KOI-217 b,2984,Unknown,15.257,317.83,2010,Gigante gaseoso
KOI-3680 b,3008,1.93,14.616,317.83,2018,Gigante gaseoso
KOI-94 d,1556,0.334,12.314,317.83,2013,Gigante gaseoso
KPS-1 b,857,1.09,12.97,317.83,2018,Gigante gaseoso
Lupus-TR-3 b,2523,0.81,196.202,317.83,2007,Gigante gaseoso
MASCARA-1 b,595,3.7,8.28,317.83,2017,Gigante gaseoso
MASCARA-4 b,557,3.1,8.191,317.83,2020,Gigante gaseoso
MOA-2007-BLG-400L b,18920,0.83,,317.83,2008,Gigante gaseoso
MOA-2008-BLG-379L b,10765,4.1,,317.83,2013,Gigante gaseoso
MOA-2009-BLG-319L b,22997,0.212,,317.83,2010,Gigante gaseoso
MOA-2009-BLG-387L b,18561,2.6,,317.83,2010,Gigante gaseoso
MOA-2010-BLG-073L b,9134,11,,317.83,2012,Gigante gaseoso
MOA-2010-BLG-117L b,11417,0.54,24.3,317.83,2018,Gigante gaseoso
MOA-2010-BLG-353L b,20975,0.27,,317.83,2015,Gigante gaseoso
MOA-2010-BLG-477L b,7503,1.5,,317.83,2012,Gigante gaseoso
MOA-2011-BLG-293L b,25183,4.8,,317.83,2012,Gigante gaseoso
MOA-2011-BLG-322L b,24661,11.6,,317.83,2013,Gigante gaseoso
MOA-2012-BLG-006L b,17289,8.4,,317.83,2017,Gigante gaseoso
MOA-2013-BLG-220L b,21921,2.74,,317.83,2014,Gigante gaseoso
MOA-2016-BLG-227L b,21203,2.8,,317.83,2017,Gigante gaseoso
MOA-2016-BLG-319L b,22182,0.62,,317.83,2018,Gigante gaseoso
MOA-bin-1L b,16636,3.7,22.59,317.83,2012,Gigante gaseoso
MOA-bin-29 b,23225,0.6,44.61,317.83,2019,Gigante gaseoso
Mu Leonis b,106,2.4,386.648,317.83,2014,Gigante gaseoso
MXB 1658-298 b,,23.7,,317.83,2017,Gigante gaseoso
NGC 2682 Sand 364 b,2666,6.69,9.616,317.83,2014,Gigante gaseoso
NGC 2682 Sand 978 b,2681,2.18,9.814,317.83,2017,Gigante gaseoso
NGC 2682 YBP 1194 b,2847,0.32,14.569,317.83,2014,Gigante gaseoso
NGC 2682 YBP 1514 b,2982,0.4,14.684,317.83,2014,Gigante gaseoso
NGC 2682 YBP 401 b,2710,0.46,13.699,317.83,2016,Gigante gaseoso
NGTS-10 b,1059,2.162,14.506,317.83,2020,Gigante gaseoso
NGTS-11 b,621,0.344,12.456,317.83,2020,Gigante gaseoso
NGTS-12 b,1456,0.208,12.382,317.83,2020,Gigante gaseoso
NGTS-13 b,2112,4.84,12.744,317.83,2021,Gigante gaseoso
NGTS-15 b,2566,0.751,14.669,317.83,2021,Gigante gaseoso
NGTS-16 b,2930,0.667,14.529,317.83,2021,Gigante gaseoso
NGTS-17 b,3393,0.764,14.412,317.83,2021,Gigante gaseoso
NGTS-18 b,3576,0.409,14.588,317.83,2021,Gigante gaseoso
NGTS-1 b,712,0.812,15.667,317.83,2017,Gigante gaseoso
NGTS-2 b,1163,0.74,10.789,317.83,2018,Gigante gaseoso
NGTS-3 A b,2427,2.38,14.669,317.83,2018,Gigante gaseoso
NGTS-5 b,1001,0.229,13.789,317.83,2019,Gigante gaseoso
NGTS-6 b,1006,1.339,14.237,317.83,2019,Gigante gaseoso
NGTS-8 b,1399,0.93,13.69,317.83,2019,Gigante gaseoso
NGTS-9 b,1987,2.9,12.868,317.83,2019,Gigante gaseoso
NN Serpentis c,1683,7.33,16.943,317.83,2010,Gigante gaseoso
NN Serpentis d,1683,2.3,16.943,317.83,2010,Gigante gaseoso
NSVS 14256825 b,2678,14.15,13.296,317.83,2019,Gigante gaseoso
Nu Ophiuchi b,151,22.206,331.216,317.83,2012,Gigante gaseoso
Nu Ophiuchi c,151,24.662,331.216,317.83,2012,Gigante gaseoso
NY Virginis b,1775,2.3,13.496,317.83,2011,Gigante gaseoso
NY Virginis c,1775,5.54,13.496,317.83,2019,Gigante gaseoso
OGLE-2003-BLG-235L b,18920,2.6,21.4,317.83,2004,Gigante gaseoso
OGLE-2005-BLG-071L b,10438,3.8,21.3,317.83,2005,Gigante gaseoso
OGLE-2006-BLG-109L b,4926,0.727,,317.83,2008,Gigante gaseoso
OGLE-2006-BLG-109L c,4926,0.27,,317.83,2008,Gigante gaseoso
OGLE-2007-BLG-349L AB c,9003,0.3,24.73,317.83,2016,Gigante gaseoso
OGLE-2008-BLG-092L b,26422,0.18,,317.83,2014,Gigante gaseoso
OGLE-2008-BLG-355L b,22182,4.6,,317.83,2014,Gigante gaseoso
OGLE-2011-BLG-0173L b,19898,0.19,,317.83,2018,Gigante gaseoso
OGLE-2011-BLG-0251L b,8383,0.53,,317.83,2012,Gigante gaseoso
OGLE-2011-BLG-0265L b,14288,0.88,,317.83,2015,Gigante gaseoso
OGLE-2012-BLG-0026L b,13110,0.145,20.66,317.83,2012,Gigante gaseoso
OGLE-2012-BLG-0026L c,13110,0.86,20.66,317.83,2012,Gigante gaseoso
OGLE-2012-BLG-0358L b,5741,1.85,,317.83,2013,Gigante gaseoso
OGLE-2012-BLG-0406L b,16212,2.73,,317.83,2013,Gigante gaseoso
OGLE-2012-BLG-0563L b,4241,0.39,,317.83,2015,Gigante gaseoso
OGLE-2012-BLG-0724L b,21855,0.47,,317.83,2016,Gigante gaseoso
OGLE-2012-BLG-0838L b,20616,0.167,,317.83,2020,Gigante gaseoso
OGLE-2013-BLG-0102L b,9916,13,,317.83,2014,Gigante gaseoso
OGLE-2013-BLG-0132L b,12722,0.29,,317.83,2017,Gigante gaseoso
OGLE-2013-BLG-0911L b,10504,9.51,26.42,317.83,2019,Gigante gaseoso
OGLE-2013-BLG-1721L b,20551,0.64,,317.83,2017,Gigante gaseoso
OGLE-2013-BLG-1761L b,22508,2.7,,317.83,2018,Gigante gaseoso
OGLE-2014-BLG-0124L b,13374,0.51,,317.83,2015,Gigante gaseoso
OGLE-2014-BLG-0676L b,7242,3.09,,317.83,2016,Gigante gaseoso
OGLE-2014-BLG-1722L b,20877,0.174,,317.83,2018,Gigante gaseoso
OGLE-2014-BLG-1722L c,20877,0.263,,317.83,2018,Gigante gaseoso
OGLE-2014-BLG-1760L b,22377,0.56,23.42,317.83,2016,Gigante gaseoso
OGLE-2015-BLG-0051L b,26748,0.72,,317.83,2016,Gigante gaseoso
OGLE-2015-BLG-0954L b,3914,3.4,20.61,317.83,2016,Gigante gaseoso
OGLE-2015-BLG-1649L b,13798,2.54,,317.83,2019,Gigante gaseoso
OGLE-2015-BLG-1771L b,23062,0.433,,317.83,2020,Gigante gaseoso
OGLE-2016-BLG-0263L b,21203,4.1,,317.83,2017,Gigante gaseoso
OGLE-2016-BLG-0613L AB b,11123,4.18,,317.83,2017,Gigante gaseoso
OGLE-2016-BLG-1067L b,12167,0.43,,317.83,2019,Gigante gaseoso
OGLE-2016-BLG-1190L b,22084,13.38,,317.83,2017,Gigante gaseoso
OGLE-2016-BLG-1227L b,,0.79,,317.83,2020,Gigante gaseoso
OGLE-2017-BLG-0373L b,19295,0.401,,317.83,2018,Gigante gaseoso
OGLE-2017-BLG-0406L b,16962,0.41,26.1,317.83,2020,Gigante gaseoso
OGLE-2017-BLG-0604L b,12885,0.51,,317.83,2020,Gigante gaseoso
OGLE-2017-BLG-1049L b,18496,5.53,,317.83,2020,Gigante gaseoso
OGLE-2017-BLG-1140L b,,1.59,,317.83,2018,Gigante gaseoso
OGLE-2017-BLG-1375L b,12820,11.28,,317.83,2020,Gigante gaseoso
OGLE-2017-BLG-1522L b,24432,0.75,,317.83,2018,Gigante gaseoso
OGLE-2018-BLG-0740L b,10438,4.8,18.21,317.83,2019,Gigante gaseoso
OGLE-2018-BLG-1011L b,23160,1.8,,317.83,2019,Gigante gaseoso
OGLE-2018-BLG-1011L c,23160,2.8,,317.83,2019,Gigante gaseoso
OGLE-2018-BLG-1269L b,8188,0.67,17.4,317.83,2020,Gigante gaseoso
OGLE-2018-BLG-1428L b,20290,0.77,,317.83,2021,Gigante gaseoso
OGLE-2018-BLG-1700L b,24791,4.4,23.8,317.83,2020,Gigante gaseoso
OGLE-2019-BLG-0954L b,11841,14.2,,317.83,2021,Gigante gaseoso
OGLE2-TR-L9 b,5309,4.5,14.718,317.83,2008,Gigante gaseoso
OGLE-TR-10 b,4387,0.62,16.006,317.83,2004,Gigante gaseoso
OGLE-TR-111 b,3485,0.55,16.707,317.83,2004,Gigante gaseoso
OGLE-TR-113 b,1848,1.26,158.485,317.83,2004,Gigante gaseoso
OGLE-TR-132 b,6565,1.18,16.536,317.83,2004,Gigante gaseoso
OGLE-TR-182 b,8161,1.01,169.195,317.83,2007,Gigante gaseoso
OGLE-TR-211 b,4943,1.03,15.364,317.83,2007,Gigante gaseoso
OGLE-TR-56 b,923,1.39,15.3,317.83,2002,Gigante gaseoso
Omega Serpentis b,250,1.7,521.644,317.83,2013,Gigante gaseoso
Omicron Coronae Borealis b,277,1.5,55.052,317.83,2012,Gigante gaseoso
Omicron Ursae Majoris b,179,4.1,335.214,317.83,2012,Gigante gaseoso
Ophiuchi 11 b,444,14,18.912,317.83,2006,Gigante gaseoso
PDS 70 b,369,3,12.032,317.83,2018,Gigante gaseoso
PDS 70 c,369,2,12.032,317.83,2019,Gigante gaseoso
PH2 b,1122,80,12.645,317.83,2013,Gigante gaseoso
POTS-1 b,2440,2.31,179.083,317.83,2013,Gigante gaseoso
Pr0201 b,589,0.54,10.445,317.83,2012,Gigante gaseoso
Pr0211 b,596,1.88,12.163,317.83,2012,Gigante gaseoso
Pr0211 c,596,7.79,12.163,317.83,2016,Gigante gaseoso
Psi 1 Draconis B b,74,1.53,5.808,317.83,2015,Gigante gaseoso
PSR B1620-26 b,,2.5,,317.83,2003,Gigante gaseoso
PSR J1719-1438 b,3914,1.2,,317.83,2011,Gigante gaseoso
PSR J2322-2650 b,750,0.7949,,317.83,2017,Gigante gaseoso
Qatar-10 b,1824,0.736,12.868,317.83,2019,Gigante gaseoso
Qatar-1 b,605,1.294,12.692,317.83,2010,Gigante gaseoso
Qatar-2 b,592,2.494,13.443,317.83,2011,Gigante gaseoso
Qatar-3 b,2400,4.31,12.929,317.83,2017,Gigante gaseoso
Qatar-4 b,1073,6.1,13.574,317.83,2017,Gigante gaseoso
Qatar-5 b,1199,4.32,12.614,317.83,2017,Gigante gaseoso
Qatar-6 b,329,0.668,11.496,317.83,2017,Gigante gaseoso
Qatar-7 b,2303,1.88,13.134,317.83,2019,Gigante gaseoso
Qatar-8 b,918,0.371,11.71,317.83,2019,Gigante gaseoso
Qatar-9 b,697,1.19,14.023,317.83,2019,Gigante gaseoso
Rho Coronae Borealis b,57,10.449,540.816,317.83,1997,Gigante gaseoso
Ross 458 c,38,6,9.76,317.83,2010,Gigante gaseoso
ROXs 12 b,446,16,14.763,317.83,2013,Gigante gaseoso
ROXs 42 B b,468,9,14.661,317.83,2013,Gigante gaseoso
RR Caeli b,69,4.2,14.379,317.83,2012,Gigante gaseoso
SR 12 AB c,366,13,13.355,317.83,2010,Gigante gaseoso
SWEEPS-11 b,27727,9.7,19.83,317.83,2006,Gigante gaseoso
SWEEPS-4 b,27727,3.8,18.8,317.83,2006,Gigante gaseoso
TAP 26 b,396,1.66,12.5,317.83,2017,Gigante gaseoso
Tau Bootis b,51,5.95,448.635,317.83,1996,Gigante gaseoso
Tau Geminorum b,367,20.6,437.799,317.83,2013,Gigante gaseoso
TIC 237913194 b,998,1.942,12.144,317.83,2020,Gigante gaseoso
TOI-1130 c,190,0.974,11.595,317.83,2020,Gigante gaseoso
TOI-1259 A b,385,0.441,12.079,317.83,2021,Gigante gaseoso
TOI-1278 b,247,18.5,13.502,317.83,2021,Gigante gaseoso
TOI-1333 b,654,2.37,9.438,317.83,2021,Gigante gaseoso
TOI-1478 b,499,0.851,10.723,317.83,2021,Gigante gaseoso
TOI-150.01,1097,2.51,11.39,317.83,2019,Gigante gaseoso
TOI-157 b,1160,1.18,12.725,317.83,2020,Gigante gaseoso
TOI-1601 b,1098,0.99,10.66,317.83,2021,Gigante gaseoso
TOI-163 b,1343,1.22,11.467,317.83,2019,Gigante gaseoso
TOI-169 b,1330,0.791,12.355,317.83,2020,Gigante gaseoso
TOI-172 b,1118,5.42,11.299,317.83,2019,Gigante gaseoso
TOI-1899 b,419,0.66,14.88,317.83,2020,Gigante gaseoso
TOI-201 b,371,0.42,9.07,317.83,2021,Gigante gaseoso
TOI-216.01,580,0.62927,12.324,317.83,2019,Gigante gaseoso
TOI-2202 b,770,0.978,13.004,317.83,2021,Gigante gaseoso
TOI-2202 c,770,0.369,13.004,317.83,2021,Gigante gaseoso
